smiles,uM_value,pchembl_value
Clc1cc(Cl)cc(Nc2nc[nH]n2)c1,23.3,4.63
Cc1ccc(NC(=O)Cn2nc(C)c3ccccc3c2=O)cc1F,14.02,4.85
Cc1cc(C(=O)COC(=O)c2cccnc2O)c(C)n1C1CC1,13.31,4.88
O=C(NC(=S)NNS(=O)(=O)c1ccccc1)c1ccccc1[N+](=O)[O-],29.88,4.53
N#C/C(=C\c1ccc(O)c(O)c1)S(=O)(=O)c1ccccc1,7.23,5.14
COC(=O)c1ccccc1NC(=O)CN1C(=O)c2ccccc2S1(=O)=O,18.06,4.74
CCCc1cc(O)nc(SCC(=O)N(C)CC(=O)Nc2ccc(C)cc2)n1,9.77,5.01
Cc1ccc(-n2c(C)cc(C(=O)COC(=O)c3cccnc3O)c2C)cc1C,1.45,5.84
Cc1c(Cl)cccc1NC(=O)CSCc1cc(O)[nH]n1,62.28,4.21
CC(=O)/C(C#N)=C1\NC(=O)C(Cc2ccccc2Cl)S1,26.6,4.58
CCOC(=O)c1c(-c2cccs2)csc1NC(=O)CCCC(=O)O,20.26,4.69
CC(C)Oc1ccc(C(CC(=O)O)NC(=O)CSc2nc[nH]n2)cc1,47.35,4.33
C=CCN1C=CC(=CC=C(C#N)C#N)C=C1,72.21,4.14
Cc1ccc(N(CC(N)=O)C2SC(=O)N(Cc3cccc(C(=O)O)c3)C2=O)cc1,40.71,4.39
CC(C)CC(=O)n1sc(NC(=O)c2ccccc2)nc1=O,43.94,4.36
O=C(NCc1ccccc1)c1ccc2c(=O)[nH]c3c(C(=O)NCC4CCCO4)sc(=S)n3c2c1,8.61,5.07
O=C(CN1C(=O)c2ccccc2C1=O)Nc1ccc2c(c1)OCO2,9.43,5.03
Cc1ccc(-n2c(SCC(=O)N3Cc4ccccc4CC3C(=O)O)nnc2-c2cccnc2)c(C)c1,3.12,5.51
COc1ccc(C2CC(=O)c3sc(N)nc3C2)cc1,30.14,4.52
CCN(CC)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,3.06,5.51
Cc1ccc(C)c(N2C(=N)S/C(=C\c3ccc(-c4ccccc4C(=O)O)o3)C2=O)c1,32.62,4.49
CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1OC,24.43,4.61
Cc1ccc(Nc2nnc(SC3CCOC3=O)s2)cc1,1.94,5.71
Cc1ccc(NC(=O)CN2C(=O)N/C(=C/c3ccco3)C2=O)cc1,37.8,4.42
CC1=C(C)CC(C(=O)Nc2nc(-c3ccc(C)cc3C)c(C)s2)C(C(=O)O)C1,3.71,5.43
O=C(O)COc1ccccc1/C=C1\SC(=O)N(Cc2ccc(F)cc2)C1=O,34.83,4.46
O=C(CSc1nc[nH]n1)Nc1ccc(Br)cc1F,29.8,4.53
COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1,15.77,4.8
COc1ccc(NC(=O)CSc2nccc(C)n2)cc1,20.33,4.69
O=C(O)C1CC=CCC1C(=O)Nc1ccc2c(c1)OCCO2,13.41,4.87
CN1CCS/C1=C\C=C1/SC(=S)N(CC(=O)O)C1=O,52.26,4.28
COc1ccc(NC(=O)CSc2nnc(NC(=O)c3ccccc3C(=O)O)s2)cc1,6.27,5.2
O=C(CSc1nc(O)cc(=O)n1-c1ccccc1)Nc1ccc2c3c(cccc13)CC2,1.45,5.84
O=C(CSc1nc[nH]n1)Nc1cccc2ccccc12,29.15,4.54
N#Cc1c(O)nc(S)nc1-c1ccccc1,15.66,4.8
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(OC)cc3)cc2)CC1,25.05,4.6
O=C(O)Cc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1,1.7,5.77
O=C1/C(=C/c2cccs2)NC(=S)N1C1CC1,6.44,5.19
CC1=C(C#N)C(=O)NC(=O)/C1=C\c1ccc(-c2ccc(C)cc2[N+](=O)[O-])o1,13.06,4.88
COc1ccc(CC(CC(=O)O)C(=O)Nc2ccc(OC)cc2)cc1,8.96,5.05
C=CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1OC,22.84,4.64
CC1=C(C)CC(C(=O)Nc2cccc([N+](=O)[O-])c2)C(C(=O)O)C1,6.42,5.19
CC(C)[C@H](Nc1nc(-c2ccccc2)nc2c1oc1ccccc12)C(=O)O.Cl,25.18,4.6
O=C(O)c1cccc(C(=O)Cc2ccccc2)c1,17.51,4.76
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4nc(C(F)F)c(Cl)c4C)C3SC2)s1,13.92,4.86
Cc1ccc(S(=O)(=O)NC(=O)CSc2nc3ccccc3s2)cc1,7.77,5.11
CCCCCCSc1nc(O)c(C2OC(=O)c3c2ccc(OC)c3OC)c(=O)n1-c1ccccc1,4.82,5.32
O=C(CSc1nc(O)cc(-c2ccccc2)n1)Nc1ccccn1,8.69,5.06
CSc1nc2nc(-c3ccccc3)cc(O)n2n1,28.58,4.54
O=C(Cc1cccs1)NNC(=S)NC(=O)c1ccccc1,30.0,4.52
Cc1onc(-c2ccccc2)c1C(=O)NNC(=S)NC(=O)c1ccc(F)cc1,79.36,4.1
O=C(O)C1CCCCC1C(=O)Nc1cc(C(F)(F)F)ccc1Cl,17.53,4.76
Oc1ccc(-c2n[nH]c(S)n2)cc1,20.55,4.69
O=C(O)CCCNC(=O)/C(=C\C=C\c1ccccc1)NC(=O)c1ccccc1Cl,86.81,4.06
CCOC(=O)CSc1nnc(-c2ccco2)n1-c1ccc(C)cc1,36.98,4.43
CCCCCOc1ccc(NC(=O)CCCC(=O)O)cc1,11.3,4.95
Cc1ccc(C(=O)Nc2nc(=O)n(C(=O)C3CC3)s2)cc1,19.31,4.71
COC(=O)c1cccc(NC(=O)CSc2nc(C)cc(O)n2)c1,7.51,5.12
COc1ccc(NC(=O)CSC2=NC(=O)CC(C)=N2)cc1,3.09,5.51
CCCCc1ccc(NC(=O)N[C@H](C(=O)O)C(C)C)cc1,7.04,5.15
Cc1cccc(Nc2nnc(S)s2)c1C,9.62,5.02
COc1ccc(-c2n[nH]c(S)n2)cc1,39.47,4.4
Cc1ccc(Nc2nnc(SCC(=O)c3cc4ccccc4o3)s2)cc1C,19.77,4.7
CCn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1,13.34,4.88
Sc1n[nH]c(-c2cccc(Br)c2)n1,2.22,5.65
Cc1noc(NS(=O)(=O)c2ccc(NC(=O)CSc3n[nH]c4c5ccccc5nc-4n3)cc2)c1C,2.57,5.59
COC(=O)c1c(-c2ccc(C)cc2)csc1NC(=O)C1CC=CCC1C(=O)O,1.2,5.92
COc1ccc(NC(=O)CC(Cc2ccccc2)C(=O)O)cc1,18.69,4.73
Cc1ccc(NC(S)=NNc2ccc([N+](=O)[O-])cc2S(=O)(=O)Nc2ccccc2C(=O)O)cc1C,5.16,5.29
CCc1nnc(NS(=O)(=O)c2ccc(NC(=O)COc3ccc4ccccc4c3)cc2)s1,5.1,5.29
CCOc1ccc(NC(=O)COC(=O)c2cccnc2)cc1,27.39,4.56
O=C(O)CCN1C(=O)CC(N2C(=O)/C(=C/c3ccc(Cl)cc3)SC2=S)C1=O,22.46,4.65
O=C(O)CN1C(=O)/C(=C\c2cn(CC(=O)N3CCOCC3)c3ccccc23)SC1=S,13.13,4.88
O=C(O)C12CC3CC(C1)CC(n1ncc(NCc4ccccc4)c(Cl)c1=O)(C3)C2,90.0,4.05
CCc1ccc(C(=O)CSc2n[nH]c(C)n2)cc1,63.38,4.2
O=C(CSc1nc[nH]n1)Nc1ccc2c(c1)CCC2,22.25,4.65
NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCCCC2,58.7,4.23
O=C(Nc1ccc(C(=O)O)cc1)Nc1cccc([N+](=O)[O-])c1,16.05,4.79
Nc1nc2c(s1)C(=O)CC(c1ccccc1)C2,58.76,4.23
Cc1ccc(C(=O)Nc2nc(=O)n(C(=O)c3ccccc3Cl)s2)cc1,13.81,4.86
O=C(O)CCCc1sccc1N=Nc1c(O)ccc2ccccc12,20.03,4.7
CCCn1c(C)cc(C(=O)COC(=O)c2cccnc2O)c1C,15.33,4.81
O=C(CSc1nccc(O)n1)Nc1ccc(Br)c(Cl)c1,2.5,5.6
O=C(O)Cn1cc(/C=C2/NC(=O)N(c3ccc(Cl)cc3)C2=O)c2ccccc21,11.87,4.93
Oc1cc(-c2ccc(F)cc2)[nH]n1,1.13,5.95
CC(=O)Nc1c(O)nc(SCC(=O)Nc2sc3c(c2C#N)CCCCCC3)nc1O,27.95,4.55
O=C(COc1ccccc1)NNC(=S)NC(=O)c1ccccc1,9.22,5.04
CCOC(=O)c1c(NC(=O)C2C3C=CC(C3)C2C(=O)O)sc2c1CCC(C)C2,15.7,4.8
COc1cccc(Nc2nnc(S)s2)c1,6.54,5.18
CCOc1ccc(Cc2nnc(S)s2)cc1,12.64,4.9
CCOc1ccc(NC(=O)C2CC=CCC2C(=O)O)cc1,10.45,4.98
