mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,SHAP_mw,SHAP_fsp3,SHAP_n_lipinski_hba,SHAP_n_lipinski_hbd,SHAP_n_rings,SHAP_n_hetero_atoms,SHAP_n_heavy_atoms,SHAP_n_rotatable_bonds,SHAP_tpsa,SHAP_qed,SHAP_clogp,SHAP_sas,SHAP_n_aliphatic_carbocycles,SHAP_n_aliphatic_heterocyles,SHAP_n_aliphatic_rings,SHAP_n_aromatic_carbocycles,SHAP_n_aromatic_heterocyles,SHAP_n_aromatic_rings,SHAP_n_saturated_carbocycles,SHAP_n_saturated_heterocyles,SHAP_n_saturated_rings
277,0,8,5,3,8,20,2,130,0,-1,4,1,0,1,0,2,2,0,0,0,-0.020294895,-0.0062747775,0.09545735,0.14607355,0.037218302,0.10699526,0.012426888,0.17982398,0.045049015,0.0,0.06371804,0.19707717,0.057573166,0.05636536,0.0025713842,0.0027564594,0.044666022,-0.039745256,0.014856614,0.025574595,0.0059437943
345,0,2,0,4,5,21,0,17,0,4,2,0,2,2,2,0,2,0,0,0,5.516586e-05,-0.007882789,-0.03846227,-0.18246756,0.01464307,-0.0015023767,-0.09719836,0.16646066,0.7079309,0.0,0.21589313,0.012790445,0.010188155,-0.054904934,0.0018929746,0.013348148,0.0006757952,0.0388524,-0.011725655,0.012115216,-0.03510653
363,0,5,1,4,5,27,4,68,0,4,2,1,0,1,2,1,3,1,0,1,0.0669931,-0.008034646,-0.014178089,-0.044938546,0.021973634,0.045753382,0.052552383,0.040225253,0.2507877,0.0,0.19717693,-0.027417926,-0.019059699,0.031241467,-0.034902535,0.112265944,-0.008613463,0.040640756,0.15785624,0.011052196,-0.0075929635
452,0,9,0,4,11,30,5,119,0,1,4,2,0,2,1,1,2,2,0,2,0.089864016,-0.006824841,0.2657607,0.09484343,0.009172824,0.0017200304,0.032244325,-0.1041004,-0.29871988,0.0,0.0016270377,0.122128956,0.09397169,0.06317268,0.018766196,0.028915018,0.040144183,-0.014118815,0.29625902,0.030849842,0.022832582
318,0,5,1,3,6,22,3,48,0,2,2,0,1,1,1,1,2,0,1,1,0.13858162,-0.007988002,0.0020501278,-0.020668598,0.040476233,0.028429886,-0.120836645,-0.10230623,1.078061,0.0,-0.21871348,0.016126554,0.019753022,0.0076906993,0.002623596,0.08744983,0.06669296,0.020841608,-0.010641967,0.00565821,-0.019597117
363,0,5,2,5,5,28,4,65,0,5,2,0,0,0,3,2,5,0,0,0,-0.055551175,-0.008000576,-0.042927716,0.04740816,-0.047804162,-0.009280162,0.03690959,-0.06129709,-0.04496211,0.0,0.19968687,-0.009474357,0.002610529,0.029045295,0.029463971,-0.1633171,-0.022235619,-0.106747046,-0.020838896,0.0012518427,-0.049710598
454,0,8,3,3,11,29,5,113,0,5,2,0,0,0,2,1,3,0,0,0,-0.11987813,-0.007748263,-0.025379527,0.07890119,-0.0014005858,-0.0022831375,-0.001043618,-0.14770053,-0.6192569,0.0,0.14958704,-0.0605834,0.0041601122,0.050324593,0.027936094,0.0026952252,-0.015276166,-0.0022290258,-0.022520881,0.0045180814,-0.045087345
505,0,9,1,6,9,37,10,102,0,4,5,0,3,3,1,2,3,0,3,3,-0.11962733,-0.008841594,0.06126159,-0.035037167,-0.0738938,-0.018782316,0.043183114,0.07018202,-0.5706807,0.0,0.10644092,0.03550755,-0.045967765,-0.2662492,-0.068401165,0.021725891,-0.004783275,-0.0380068,-0.05168855,-0.08511105,0.025054691
334,0,8,4,2,9,23,6,117,0,0,2,0,0,0,1,1,2,0,0,0,-0.21434219,-0.007903044,-0.033968855,0.09460926,-0.0854187,-0.118486,-0.12016086,-0.19204642,-0.5521887,0.0,-0.12526403,-0.03953633,-0.01189415,0.0419245,0.004936815,0.013885557,0.00622778,-0.046642702,-0.010650369,0.01357993,-0.031199189
270,0,5,4,2,8,19,2,83,0,2,2,0,0,0,1,1,2,0,0,0,-0.2366029,-0.0078042136,-0.12144839,0.13170904,-0.04618744,-0.115811035,-0.14580797,-0.01841349,-0.4074391,0.0,-0.22096874,-0.02183718,-0.0057897326,0.018925847,0.0043813,0.004137196,-0.0026957502,-0.055085506,-0.011435705,0.0022030277,-0.03011099
449,0,7,2,4,8,32,8,80,0,4,3,0,0,0,2,2,4,0,0,0,0.24625403,-0.0059009395,0.37426335,0.16542873,0.07731312,0.07717064,0.38889626,0.023857929,0.6198213,0.0,0.19648224,0.14059071,0.010935817,0.11850002,0.08818771,0.13165534,0.15406014,0.11653657,-0.014914907,0.032156903,-0.034990013
258,0,6,2,3,7,19,3,84,0,0,3,0,1,1,1,1,2,0,0,0,-0.16479182,-0.0076710926,0.04729847,0.004341723,0.03694585,-0.0065419916,-0.04843172,0.050548602,-0.084208585,0.0,0.2197423,-0.034539845,-0.0044047283,0.004529893,-0.004514976,0.021805014,0.034958314,-0.02152484,0.0011069699,0.012320661,-0.022880534
640,0,5,3,9,5,47,7,76,0,7,6,4,3,7,1,1,2,4,3,7,0.16772021,-0.008585364,-0.10926337,0.16153108,-0.042434353,0.015646271,0.1461789,-0.048973527,0.0053469455,0.0,0.12600033,0.15467396,-0.21113606,-0.16560057,0.22121449,-0.0015845071,-0.06392197,-0.07660846,0.11705444,-0.033207845,0.7797897
407,0,6,1,3,7,28,6,64,0,3,3,0,2,2,1,0,1,0,2,2,-0.031095427,-0.0074318857,-0.013736154,-0.031789117,0.03818284,0.0055382834,0.08467155,-0.008935564,0.27385223,0.0,-0.075470716,0.0194886,0.00024142282,-0.101790786,-0.01917774,0.05711913,-0.004325256,0.042106174,-0.025344433,0.015478455,0.09174256
584,0,6,0,6,7,42,11,69,0,6,4,0,2,2,4,0,4,0,1,1,0.15218323,-0.0076331617,-0.06847558,-0.22132137,-0.04649887,0.009336688,0.11689659,0.15909293,0.04737769,0.0,0.1491514,0.023116138,-0.0019536372,-0.20732975,-0.018264487,-0.14355034,-0.049427565,0.03518184,-0.024760181,-0.033722334,-0.03798308
287,0,6,1,3,6,21,3,67,0,1,2,0,1,1,1,1,2,0,1,1,-0.35153612,-0.008805725,-0.048441112,-0.063657604,0.018128019,-0.17581703,-0.15713988,-0.15109384,-0.31967098,0.0,-0.041128658,-0.01550955,-0.0053587,-0.007506902,-0.0035502666,0.010741324,0.023222089,-0.04273292,-0.020560244,-0.06337823,-0.075008705
183,0,3,1,2,4,12,1,41,0,2,2,1,0,1,0,1,1,1,0,1,-0.37033713,-0.009171179,-0.110456534,-0.090557955,-0.024228819,-0.07197998,-0.11802472,0.025151528,0.17349409,0.0,-0.23260188,-0.03827727,-0.01473445,0.024978198,-0.023620727,-0.03608372,0.018879535,0.027545497,0.036868848,-0.0015163202,-0.047329843
452,0,6,1,4,8,31,7,67,0,5,2,0,1,1,2,1,3,0,0,0,-0.1857749,-0.007818439,-0.11255586,-0.14871864,0.0031839046,0.024979759,0.03379594,-0.21173549,-0.115376554,0.0,0.09628434,-0.052368574,0.0022261234,-0.08650317,-0.06346278,0.041346945,-0.04075906,-0.025342861,-0.02904522,-0.02880408,-0.09943152
317,0,3,1,3,4,22,6,28,0,4,2,0,1,1,1,1,2,0,1,1,0.18873174,-0.0067620776,0.04893029,-0.00894308,0.02050341,0.054295924,-0.068290815,0.024432672,1.3870552,0.0,0.22595301,0.022967791,0.029787946,-0.025222063,-0.020648716,0.11770556,0.048127506,0.08823745,-0.0024511202,-0.0013346757,-0.025865175
314,0,6,4,0,6,22,12,98,0,0,3,0,0,0,0,0,0,0,0,0,-0.15652463,-0.0077626337,-0.09536571,0.05135877,0.00039325046,-0.078084715,-0.16875367,-0.000618395,-0.18052895,0.0,-0.20829369,-0.045053516,-0.013466084,0.048853878,0.008127218,-0.084658846,-0.029124163,-0.051015444,-0.01077083,0.0015696927,-0.041199427
447,0,7,2,4,9,31,6,101,0,3,4,0,2,2,1,1,2,0,2,2,0.052779894,-0.0081387395,0.094873786,-0.010305769,-0.03613923,-0.012186082,0.01980539,-0.055178393,-0.5223823,0.0,-0.11140867,0.09859705,-0.004867413,-0.1695289,-0.025412235,0.021840952,-0.016382711,-0.018146677,-0.03813693,-0.051667113,0.048176624
686,0,7,4,9,7,50,8,106,0,6,6,4,3,7,1,1,2,4,3,7,0.12539622,-0.008321918,0.054645076,-0.051891994,-0.026513098,-0.028491719,0.031850114,0.09180821,-0.23492494,0.0,0.08822631,0.105315186,-0.17676541,-0.19813472,0.22454938,0.020053642,-0.05747141,-0.07893854,0.14364386,-0.043486208,0.73527515
