canonical_smiles,uM_value
COc1cc([N+](=O)[O-])ccc1NC(=O)Nn1cnnc1,0.35284
O=C1NC(=S)NC(=O)C1=Cc1cc2ccccc2[nH]1,1.671
O=C(Nc1ccc([N+](=O)[O-])cc1)Nn1cnnc1,1.033
O=C(Nc1ccccc1Cl)Nn1cnnc1,1.467
COc1ccc(Cl)cc1NC(=O)Nn1cnnc1,0.83199
O=C(O)CSc1nc[nH]n1,0.2017
Cc1nnc(NNS(=O)(=O)c2ccc(Cl)cc2)nc1O,1.566
COc1cc([N+](=O)[O-])ccc1N=C(S)Nn1cnnc1,0.85366
Nc1nncn1C(=O)CCCOc1ccc(Cl)cc1Cl,2.596
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nn2cnnc2)cc1,1.066
CCOC(=O)C1=C(CS(=O)(=O)c2ccc(F)cc2)NC(=O)NC1c1ccc(O)c(O)c1,1.516
Oc1ccc(-c2cn3ccccc3n2)cc1O,2.556
O=C(Nc1ccc(Cl)c(Cl)c1)Nn1cnnc1,0.83735
COCCNC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,2.116
Cc1cc(C)n2c(S)nnc2n1,6.408
S=C(Nc1cc(Cl)ccc1Cl)Nn1cnnc1,0.6615
CNCc1ccccc1Sc1ccc(O)c(O)c1.O=C(O)/C=C\C(=O)O,1.886
O=C(Nc1cc(N2CCOCC2)ncn1)NC1(C(F)(F)F)Oc2ccccc2O1,2.698
COC(=O)c1cc(C(=O)Nn2cnnc2)cc([N+](=O)[O-])c1,2.367
Oc1ccc(C2=Nn3c(nnc3-c3ccco3)SC2)cc1O,1.845
CN1C(=O)N(c2cccc3ccccc23)C(n2cncn2)C1(C)C,1.802
O=C(NC(=S)Nn1cnnc1)c1ccccc1Br,1.502
CCc1ccccc1N=C(S)Nn1cnnc1,3.033
Cl.NCCc1ccc(O)c(O)c1,1.979
Cc1ccc(N2C(=O)/C(=C\Nn3cnnc3)c3ccccc3C2=O)cc1,1.952
Cc1ccc(N=C(S)Nn2cnnc2)c(C)c1,2.111
CC1=NNC(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,0.70954
COC(=O)CN(n1cnnc1)S(=O)(=O)c1ccccc1Cl,0.38067
COc1ccc(C(=O)n2cnnc2N)cc1,2.513
COC(=O)CN(n1cnnc1)S(=O)(=O)c1ccccc1,0.49728
O=S(=O)(Nn1cnnc1)c1ccccc1,3.811
O=C(Nc1cc(Cl)ccc1Cl)Nn1cnnc1,0.5004700000000001
